Date,USD_TRY_Buying,USD_TRY_Selling,AUD_TRY_Buying,AUD_TRY_Selling,DKK_TRY_Buying,DKK_TRY_Selling,EUR_TRY_Buying,EUR_TRY_Selling,GBP_TRY_Buying,GBP_TRY_Selling,CHF_TRY_Buying,CHF_TRY_Selling,SEK_TRY_Buying,SEK_TRY_Selling,CAD_TRY_Buying,CAD_TRY_Selling,KWD_TRY_Buying,KWD_TRY_Selling,NOK_TRY_Buying,NOK_TRY_Selling,SAR_TRY_Buying,SAR_TRY_Selling,JPY_TRY_Buying,JPY_TRY_Selling,BGN_TRY_Buying,BGN_TRY_Selling,RON_TRY_Buying,RON_TRY_Selling,RUB_TRY_Buying,RUB_TRY_Selling,IRR_TRY_Buying,IRR_TRY_Selling,CNY_TRY_Buying,CNY_TRY_Selling,PKR_TRY_Buying,PKR_TRY_Selling,QAR_TRY_Buying,QAR_TRY_Selling,XDR_TRY_Buying,XDR_TRY_Selling,KRW_TRY_Buying,KRW_TRY_Selling,AZN_TRY_Buying,AZN_TRY_Selling,AED_TRY_Buying,AED_TRY_Selling
2020-01-02,5.9478,5.9585,4.1521,4.1792,0.89050,0.89488,6.6630,6.6750,7.8464,7.8873,6.1180,6.1572,0.63323,0.63979,4.5735,4.5941,19.5085,19.7638,0.67541,0.67995,1.5856,1.5884,5.4543,5.4905,3.3877,3.4320,1.3854,1.4036,0.09572,0.09697,0.01408,0.01427,0.84938,0.86050,0.03819,0.03869,1.6243,1.6456,8.2439,None,,,,,,
2020-01-03,5.9627,5.9734,4.1318,4.1587,0.88803,0.89239,6.6464,6.6584,7.7900,7.8306,6.1179,6.1572,0.62990,0.63642,4.5868,4.6075,19.5592,19.8152,0.67388,0.67841,1.5896,1.5924,5.5057,5.5422,3.3793,3.4236,1.3824,1.4005,0.09557,0.09682,0.01412,0.01430,0.85037,0.86150,0.03828,0.03878,1.6254,1.6467,8.2485,None,,,,,,
2020-01-06,5.9658,5.9766,4.1351,4.1621,0.89134,0.89572,6.6718,6.6838,7.8134,7.8542,6.1363,6.1757,0.63111,0.63764,4.5917,4.6124,19.5726,19.8288,0.67476,0.67929,1.5903,1.5932,5.5093,5.5457,3.3919,3.4362,1.3890,1.4072,0.09549,0.09674,0.01412,0.01431,0.85070,0.86183,0.03827,0.03877,1.6293,1.6506,8.2629,None,,,,,,
2020-01-07,5.9594,5.9701,4.0991,4.1258,0.89021,0.89458,6.6628,6.6748,7.8303,7.8711,6.1277,6.1671,0.63033,0.63685,4.5871,4.6078,19.5509,19.8067,0.67587,0.68042,1.5886,1.5914,5.4836,5.5199,3.3874,3.4318,1.3872,1.4054,0.09591,0.09717,0.01411,0.01429,0.85363,0.86480,0.03823,0.03873,1.6275,1.6488,8.2571,None,,,,,,
2020-01-08,5.9571,5.9679,4.0849,4.1115,0.88652,0.89088,6.6355,6.6474,7.8106,7.8513,6.1189,6.1582,0.62796,0.63446,4.5768,4.5975,19.5348,19.7904,0.67100,0.67551,1.5879,1.5907,5.4763,5.5126,3.3735,3.4176,1.3810,1.3991,0.09574,0.09699,0.01410,0.01429,0.85336,0.86452,0.03821,0.03871,1.6236,1.6448,8.2424,None,,,,,,
2020-01-09,5.8810,5.8916,4.0282,4.0544,0.87297,0.87726,6.5336,6.5454,7.6719,7.7119,6.0233,6.0619,0.61862,0.62503,4.5015,4.5218,19.2737,19.5259,0.66071,0.66516,1.5677,1.5705,5.3635,5.3990,3.3219,3.3653,1.3599,1.3777,0.09552,0.09677,0.01392,0.01411,0.84381,0.85485,0.03776,0.03826,1.6045,1.6255,8.1233,None,,,,,,
2020-01-10,5.8713,5.8819,4.0285,4.0547,0.87070,0.87497,6.5170,6.5288,7.6595,7.6994,6.0119,6.0505,0.61540,0.62177,4.4871,4.5074,19.2385,19.4902,0.65905,0.66348,1.5651,1.5679,5.3441,5.3795,3.3134,3.3567,1.3558,1.3735,0.09524,0.09649,0.01390,0.01408,0.84298,0.85401,0.03771,0.03820,1.6001,1.6211,8.1070,None,,,,,,
2020-01-13,5.8529,5.8635,4.0335,4.0598,0.86972,0.87400,6.5096,6.5213,7.5913,7.6309,6.0024,6.0409,0.61308,0.61943,4.4763,4.4965,19.1756,19.4266,0.65685,0.66127,1.5601,1.5629,5.3198,5.3551,3.3097,3.3530,1.3543,1.3720,0.09538,0.09663,0.01386,0.01404,0.84419,0.85524,0.03758,0.03808,1.5985,1.6194,8.0859,None,,,,,,
2020-01-14,5.8811,5.8917,4.0491,4.0755,0.87504,0.87934,6.5495,6.5613,7.6222,7.6620,6.0532,6.0921,0.61897,0.62538,4.4947,4.5149,19.2759,19.5281,0.65997,0.66441,1.5676,1.5704,5.3328,5.3681,3.3298,3.3734,1.3627,1.3805,0.09529,0.09653,0.01392,0.01411,0.84957,0.86069,0.03776,0.03826,1.6055,1.6265,8.1275,None,,,,,,
2020-01-15,5.8827,5.8933,4.0449,4.0712,0.87523,0.87953,6.5504,6.5622,7.6428,7.6827,6.0727,6.1117,0.61835,0.62475,4.4958,4.5161,19.2802,19.5325,0.66070,0.66514,1.5680,1.5708,5.3403,5.3756,3.3304,3.3740,1.3625,1.3803,0.09517,0.09641,0.01393,0.01411,0.84938,0.86050,0.03780,0.03829,1.6066,1.6276,8.1313,None,,,,,,
